Timestamp,Vehicle_ID,Vehicle_Model,Battery_Age_Months,Avg_Cell_Voltage,Max_Cell_Voltage,Min_Cell_Voltage,Pack_Current,Charging_State,Charge_Throughput,Avg_Temperature,Max_Temperature,Min_Temperature,Ambient_Temperature,Internal_Resistance,Pressure_Level,Coolant_Flow_Rate,Insulation_Resistance,Cycle_Count,Depth_of_Discharge,Energy_Consumed_kWh,Energy_Regenerated_kWh,Distance_Traveled_km,Speed_kmh,Acceleration_ms2,Location_City,Location_Latitude,Location_Longitude,Altitude_m,Humidity_Percent,Air_Pressure_kPa
2024-01-03T12:00:00,JLR-EV-1001,I-PACE,50,3.476,3.625,3.136,27.08,Discharging,60936.93,21.76,30.33,17.83,18.99,3.52,1.428,3.853,1136538,744,71.6,0.56,0.0,94.9,71.0,-2.0,Chennai,13.0827,80.2707,6,70,100.8
2024-01-03T18:00:00,JLR-EV-1001,I-PACE,13,3.653,3.975,3.395,16.2,Discharging,18199.56,20.34,26.98,16.05,17.46,2.867,1.583,3.515,1776090,236,40.3,0.36,0.0,46.3,92.1,-0.6,Chennai,13.0827,80.2707,6,82,101.7
2024-01-04T00:00:00,JLR-EV-1001,I-PACE,20,3.405,3.661,3.121,42.01,Discharging,22361.37,27.28,40.99,24.37,19.24,3.294,1.194,3.212,1146031,326,50.5,0.86,0.0,0.8,105.7,-0.1,Delhi,28.6139,77.209,216,52,100.4
2024-01-04T06:00:00,JLR-EV-1001,I-PACE,32,3.478,3.641,3.207,-23.22,Charging,35065.53,18.58,22.24,12.48,17.67,2.971,1.611,3.579,1439252,391,0.0,0.0,0.48,0.0,0.0,0.0,Delhi,28.6139,77.209,216,69,100.4
2024-01-04T12:00:00,JLR-EV-1001,I-PACE,28,3.691,4.027,3.52,96.78,Discharging,28916.01,29.87,37.79,23.92,22.7,2.978,1.075,3.144,1061077,336,54.1,2.14,0.0,146.1,53.2,-0.4,Delhi,28.6139,77.209,216,57,100.0
2024-01-04T18:00:00,JLR-EV-1001,I-PACE,54,3.659,3.99,3.448,38.56,Discharging,66333.55,23.72,37.52,16.17,22.44,3.397,1.095,3.386,1218620,767,49.0,0.85,0.0,88.1,81.4,1.6,Delhi,28.6139,77.209,216,56,100.5
2024-01-05T00:00:00,JLR-EV-1001,I-PACE,44,3.52,3.701,3.297,26.47,Discharging,50243.37,25.35,38.14,21.89,23.87,3.285,1.667,2.773,1289485,622,84.0,0.56,0.0,30.2,15.4,-0.5,Chennai,13.0827,80.2707,6,80,102.3
2024-01-05T06:00:00,JLR-EV-1001,I-PACE,45,3.539,3.893,3.426,54.01,Discharging,52146.67,27.41,40.83,25.28,19.89,3.313,1.558,3.484,1462900,583,52.2,1.15,0.0,90.8,32.3,-1.8,Mumbai,19.076,72.8777,14,63,100.6
2024-01-05T12:00:00,JLR-EV-1001,I-PACE,11,3.744,4.062,3.418,103.68,Discharging,9779.67,28.4,32.93,24.17,19.25,2.771,1.457,2.047,1085382,138,73.5,2.33,0.0,125.5,25.0,-1.8,Chennai,13.0827,80.2707,6,67,101.0
2024-01-05T18:00:00,JLR-EV-1001,I-PACE,33,3.681,3.797,3.505,-53.85,Charging,42135.5,26.43,30.26,19.07,19.16,3.342,1.492,2.021,1070772,542,0.0,0.0,1.19,0.0,0.0,0.0,Chennai,13.0827,80.2707,6,82,101.4
2024-01-06T00:00:00,JLR-EV-1001,I-PACE,2,3.594,3.762,3.236,88.08,Discharging,9901.44,31.52,39.82,27.29,25.16,3.157,1.346,3.42,1744207,116,78.9,1.9,0.0,149.8,104.4,1.7,Mumbai,19.076,72.8777,14,75,100.9
2024-01-06T06:00:00,JLR-EV-1001,I-PACE,22,3.497,3.788,3.322,-54.08,Charging,21122.66,32.17,40.7,28.09,23.84,3.377,1.103,2.054,1483559,301,0.0,0.0,1.13,0.0,0.0,0.0,Chennai,13.0827,80.2707,6,71,101.9
2024-01-06T12:00:00,JLR-EV-1001,I-PACE,40,3.54,3.908,3.201,67.77,Discharging,47735.48,25.27,37.9,21.48,16.63,3.306,1.197,3.719,1612200,598,47.4,1.44,0.0,158.3,68.6,0.3,Delhi,28.6139,77.209,216,58,98.9
2024-01-06T18:00:00,JLR-EV-1001,I-PACE,18,3.692,3.994,3.541,30.77,Discharging,21328.36,26.14,32.85,19.19,21.35,3.004,1.449,3.325,1205401,284,34.2,0.68,0.0,72.3,112.2,-2.1,Pune,18.5204,73.8567,560,67,94.7
2024-01-07T00:00:00,JLR-EV-1001,I-PACE,55,3.586,3.906,3.473,-1.88,Idle,67307.12,23.06,28.72,20.97,20.73,3.142,1.063,2.079,1728358,679,0.0,0.0,0.0,0.0,0.0,0.0,Mumbai,19.076,72.8777,14,78,100.8
2024-01-07T06:00:00,JLR-EV-1001,I-PACE,59,3.55,3.771,3.222,101.81,Discharging,54402.19,32.11,42.35,29.96,21.36,3.454,1.499,3.335,1371143,718,49.4,2.17,0.0,74.6,108.0,-1.6,Pune,18.5204,73.8567,560,60,94.2
2024-01-07T12:00:00,JLR-EV-1001,I-PACE,53,3.51,3.731,3.19,51.95,Discharging,62153.83,23.87,29.89,18.52,21.9,3.26,1.015,2.661,1225799,679,26.3,1.09,0.0,130.6,32.0,-0.9,Delhi,28.6139,77.209,216,68,99.2
2024-01-07T18:00:00,JLR-EV-1001,I-PACE,4,3.438,3.783,3.196,83.25,Discharging,6133.78,32.93,40.77,25.88,21.7,3.077,1.581,2.018,1744538,64,42.0,1.72,0.0,50.0,89.3,2.1,Delhi,28.6139,77.209,216,53,100.1
2024-01-08T00:00:00,JLR-EV-1001,I-PACE,46,3.573,3.878,3.412,54.25,Discharging,55449.75,33.9,36.93,28.45,26.99,3.258,1.399,2.426,1194425,607,32.3,1.16,0.0,182.3,37.6,-2.2,Chennai,13.0827,80.2707,6,80,101.5
2024-01-08T06:00:00,JLR-EV-1001,I-PACE,4,3.651,3.816,3.494,0.32,Idle,7603.29,24.55,35.82,16.88,24.24,2.739,1.285,3.983,1290435,77,0.0,0.0,0.0,0.0,0.0,0.0,Mumbai,19.076,72.8777,14,61,100.5
2024-01-08T12:00:00,JLR-EV-1001,I-PACE,59,3.613,4.0,3.492,96.83,Discharging,64705.91,31.01,35.38,23.98,24.17,3.695,1.042,3.682,1526535,772,50.1,2.1,0.0,100.1,79.3,-0.2,Mumbai,19.076,72.8777,14,67,101.6
2024-01-08T18:00:00,JLR-EV-1001,I-PACE,43,3.388,3.659,3.189,91.17,Discharging,54582.85,30.82,36.3,27.56,25.19,3.594,1.461,2.515,1753433,565,55.0,1.85,0.0,0.6,46.4,-0.6,Pune,18.5204,73.8567,560,59,93.6
2024-01-09T00:00:00,JLR-EV-1001,I-PACE,58,3.624,3.746,3.39,71.59,Discharging,57934.06,25.05,36.77,17.61,17.96,3.225,1.629,2.809,1596933,704,60.4,1.56,0.0,83.5,53.3,-0.5,Chennai,13.0827,80.2707,6,79,101.9
2024-01-09T06:00:00,JLR-EV-1001,I-PACE,35,3.43,3.667,3.095,1.49,Idle,45587.8,22.85,32.87,18.63,21.14,3.097,1.438,2.063,1369681,521,0.0,0.0,0.0,0.0,0.0,0.0,Chennai,13.0827,80.2707,6,77,101.8
2024-01-09T12:00:00,JLR-EV-1001,I-PACE,60,3.396,3.67,2.997,18.46,Discharging,73213.02,28.53,33.21,22.09,24.02,3.357,1.539,2.03,1464781,722,84.5,0.38,0.0,91.4,13.6,0.7,Pune,18.5204,73.8567,560,72,93.8
2024-01-09T18:00:00,JLR-EV-1001,I-PACE,59,3.534,3.655,3.311,28.2,Discharging,63729.17,26.57,31.0,19.45,22.19,3.228,1.736,2.326,1454241,756,52.4,0.6,0.0,145.5,115.5,1.7,Bangalore,12.9716,77.5946,920,67,92.0
2024-01-10T00:00:00,JLR-EV-1001,I-PACE,59,3.451,3.62,3.248,57.77,Discharging,69160.81,26.8,36.27,22.12,21.99,3.476,1.731,3.591,1231067,768,50.6,1.2,0.0,50.4,95.3,1.9,Bangalore,12.9716,77.5946,920,70,92.0
2024-01-10T06:00:00,JLR-EV-1001,I-PACE,18,3.736,3.904,3.429,41.65,Discharging,21592.06,24.12,36.82,17.57,19.14,3.116,1.373,3.239,1282839,223,32.6,0.93,0.0,116.9,108.2,-2.3,Mumbai,19.076,72.8777,14,66,100.5
2024-01-10T12:00:00,JLR-EV-1001,I-PACE,9,3.486,3.599,3.099,-67.92,Charging,12656.74,27.13,40.01,20.05,24.16,2.784,1.027,3.323,1391168,169,0.0,0.0,1.42,0.0,0.0,0.0,Bangalore,12.9716,77.5946,920,79,92.4
2024-01-10T18:00:00,JLR-EV-1001,I-PACE,12,3.699,3.9,3.366,-24.32,Charging,15689.12,21.15,28.38,18.37,18.12,2.804,1.085,3.32,1255165,194,0.0,0.0,0.54,0.0,0.0,0.0,Pune,18.5204,73.8567,560,72,94.7
2024-01-11T00:00:00,JLR-EV-1001,I-PACE,10,3.425,3.624,3.131,87.04,Discharging,14003.65,29.81,35.74,26.07,24.23,3.176,1.306,3.515,1310193,166,69.3,1.79,0.0,129.3,70.6,0.6,Pune,18.5204,73.8567,560,63,94.5
2024-01-11T06:00:00,JLR-EV-1001,I-PACE,4,3.57,3.905,3.414,26.39,Discharging,16401.86,31.29,39.84,23.37,27.77,2.919,1.107,3.872,1338435,182,44.3,0.57,0.0,77.5,13.4,1.1,Delhi,28.6139,77.209,216,60,100.3
2024-01-11T12:00:00,JLR-EV-1001,I-PACE,8,3.677,4.032,3.375,85.36,Discharging,17595.44,29.24,42.97,21.6,24.46,3.094,1.612,3.413,1125012,213,85.4,1.88,0.0,70.0,1.6,1.4,Chennai,13.0827,80.2707,6,76,101.3
2024-01-11T18:00:00,JLR-EV-1001,I-PACE,43,3.468,3.699,3.332,26.14,Discharging,51112.25,24.36,29.96,21.93,20.23,3.251,1.084,2.61,1188028,574,66.9,0.54,0.0,104.1,21.0,0.9,Bangalore,12.9716,77.5946,920,71,91.2
2024-01-12T00:00:00,JLR-EV-1001,I-PACE,59,3.719,4.048,3.399,99.25,Discharging,78286.64,29.68,35.51,25.25,19.55,3.668,1.688,2.269,1254553,781,27.4,2.21,0.0,45.7,15.4,2.1,Chennai,13.0827,80.2707,6,74,102.4
2024-01-12T06:00:00,JLR-EV-1001,I-PACE,45,3.365,3.587,3.049,96.63,Discharging,50868.57,33.75,44.44,28.79,26.38,3.415,1.082,3.747,1333145,574,25.0,1.95,0.0,22.9,9.4,-1.4,Bangalore,12.9716,77.5946,920,74,91.7
2024-01-12T12:00:00,JLR-EV-1001,I-PACE,17,3.585,3.8,3.296,62.87,Discharging,16311.95,25.55,32.27,18.4,21.7,3.037,1.061,3.113,1042344,223,84.9,1.35,0.0,75.6,33.8,-0.6,Chennai,13.0827,80.2707,6,81,101.0
2024-01-12T18:00:00,JLR-EV-1001,I-PACE,3,3.685,3.948,3.434,32.64,Discharging,7018.26,24.46,34.14,19.96,19.79,2.95,1.76,3.381,1686136,77,21.9,0.72,0.0,169.2,45.5,-2.1,Bangalore,12.9716,77.5946,920,66,92.1
2024-01-13T00:00:00,JLR-EV-1001,I-PACE,59,3.521,3.66,3.27,61.03,Discharging,64508.46,21.99,31.1,16.1,19.81,3.499,1.437,3.848,1443283,787,61.8,1.29,0.0,53.6,87.8,2.2,Bangalore,12.9716,77.5946,920,65,92.8
2024-01-13T06:00:00,JLR-EV-1001,I-PACE,37,3.482,3.827,3.327,-77.5,Charging,46225.22,32.41,46.94,29.57,25.95,3.337,1.004,2.605,1737908,480,0.0,0.0,1.62,0.0,0.0,0.0,Chennai,13.0827,80.2707,6,70,102.1
2024-01-13T12:00:00,JLR-EV-1002,I-PACE,39,3.385,3.767,3.048,-42.65,Charging,43687.69,31.45,38.92,26.68,24.08,3.297,1.51,3.301,1799417,492,0.0,0.0,0.87,0.0,0.0,0.0,Mumbai,19.076,72.8777,14,72,100.3
2024-01-13T18:00:00,JLR-EV-1002,I-PACE,48,3.549,3.874,3.423,68.31,Discharging,70560.2,31.16,46.15,26.71,23.5,3.203,1.13,2.841,1514801,724,21.8,1.45,0.0,25.7,107.8,-2.4,Chennai,13.0827,80.2707,6,70,101.2
2024-01-14T00:00:00,JLR-EV-1002,I-PACE,10,3.736,4.084,3.371,-0.05,Idle,18841.21,20.49,31.86,16.32,18.77,2.668,1.162,2.716,1320170,219,0.0,0.0,0.0,0.0,0.0,0.0,Pune,18.5204,73.8567,560,70,93.7
2024-01-14T06:00:00,JLR-EV-1002,I-PACE,42,3.509,3.775,3.196,67.17,Discharging,51548.61,28.41,34.34,21.24,20.24,3.197,1.419,2.394,1523542,640,32.7,1.41,0.0,130.2,26.1,2.5,Mumbai,19.076,72.8777,14,78,101.0
2024-01-14T12:00:00,JLR-EV-1002,I-PACE,28,3.712,4.007,3.481,18.54,Discharging,26851.86,29.79,40.42,25.34,25.8,3.227,1.213,2.494,1395263,359,20.5,0.41,0.0,103.7,7.5,0.2,Chennai,13.0827,80.2707,6,79,101.1
2024-01-14T18:00:00,JLR-EV-1002,I-PACE,46,3.473,3.627,3.319,69.66,Discharging,46046.01,34.02,38.22,31.77,23.65,3.29,1.614,3.815,1053400,655,52.8,1.45,0.0,44.7,107.9,1.8,Mumbai,19.076,72.8777,14,77,102.1
2024-01-15T00:00:00,JLR-EV-1002,I-PACE,55,3.713,3.886,3.401,1.03,Idle,74153.56,19.89,26.78,17.23,19.5,3.319,1.489,3.003,1085895,731,0.0,0.0,0.0,0.0,0.0,0.0,Pune,18.5204,73.8567,560,68,93.7
2024-01-15T06:00:00,JLR-EV-1002,I-PACE,28,3.552,3.855,3.45,-20.41,Charging,27440.6,23.39,36.18,16.22,24.41,2.85,1.404,2.631,1133892,343,0.0,0.0,0.43,0.0,0.0,0.0,Chennai,13.0827,80.2707,6,78,101.2
2024-01-15T12:00:00,JLR-EV-1002,I-PACE,14,3.766,4.106,3.373,28.94,Discharging,17066.97,20.63,26.15,13.35,21.62,3.047,1.326,2.949,1296421,168,79.4,0.65,0.0,151.7,89.0,-0.4,Chennai,13.0827,80.2707,6,80,101.8
2024-01-15T18:00:00,JLR-EV-1002,I-PACE,29,3.425,3.659,3.194,25.81,Discharging,37579.47,18.85,30.35,12.41,20.1,3.062,1.645,3.159,1049587,481,78.6,0.53,0.0,159.8,38.0,1.0,Bangalore,12.9716,77.5946,920,77,93.0
2024-01-16T00:00:00,JLR-EV-1002,I-PACE,53,3.499,3.718,3.241,66.59,Discharging,45192.53,30.62,39.91,23.27,24.43,3.277,1.233,3.586,1328665,664,89.9,1.4,0.0,56.4,69.2,0.7,Chennai,13.0827,80.2707,6,87,102.3
2024-01-16T06:00:00,JLR-EV-1002,I-PACE,21,3.57,3.809,3.35,69.01,Discharging,18264.46,29.07,40.1,25.6,19.65,2.91,1.488,2.032,1695417,253,33.7,1.48,0.0,146.7,11.0,-2.2,Chennai,13.0827,80.2707,6,83,101.2
2024-01-16T12:00:00,JLR-EV-1002,I-PACE,10,3.411,3.691,3.228,43.9,Discharging,10316.71,25.56,39.2,22.27,21.59,2.687,1.15,3.069,1607305,126,24.4,0.9,0.0,105.4,11.7,-1.9,Mumbai,19.076,72.8777,14,79,102.1
2024-01-16T18:00:00,JLR-EV-1002,I-PACE,55,3.403,3.62,3.184,32.81,Discharging,54111.54,29.15,36.24,23.9,25.25,3.478,1.752,3.327,1173329,777,36.0,0.67,0.0,46.0,94.5,0.3,Chennai,13.0827,80.2707,6,75,101.4
2024-01-17T00:00:00,JLR-EV-1002,I-PACE,9,3.453,3.605,3.238,39.7,Discharging,16898.83,28.5,40.06,23.01,24.91,2.797,1.382,3.986,1662587,197,27.4,0.82,0.0,25.4,52.5,-0.6,Mumbai,19.076,72.8777,14,79,101.6
2024-01-17T06:00:00,JLR-EV-1002,I-PACE,24,3.596,3.724,3.302,22.65,Discharging,30700.09,25.09,34.36,22.18,25.47,2.891,1.301,2.899,1260590,341,67.6,0.49,0.0,64.3,106.9,0.9,Chennai,13.0827,80.2707,6,79,101.8
2024-01-17T12:00:00,JLR-EV-1002,I-PACE,3,3.789,4.08,3.403,21.02,Discharging,6929.4,31.57,41.82,25.32,28.6,3.108,1.694,2.307,1382713,82,69.4,0.48,0.0,111.3,114.6,-2.1,Bangalore,12.9716,77.5946,920,76,92.3
2024-01-17T18:00:00,JLR-EV-1002,I-PACE,23,3.653,3.924,3.377,-33.5,Charging,36398.28,28.77,36.29,26.57,24.09,3.261,1.562,3.206,1173768,414,0.0,0.0,0.73,0.0,0.0,0.0,Delhi,28.6139,77.209,216,57,99.9
2024-01-18T00:00:00,JLR-EV-1002,I-PACE,21,3.741,3.983,3.467,-68.53,Charging,32668.97,30.71,37.18,23.75,26.91,3.171,1.667,2.069,1070422,377,0.0,0.0,1.54,0.0,0.0,0.0,Delhi,28.6139,77.209,216,62,99.8
2024-01-18T06:00:00,JLR-EV-1002,I-PACE,8,3.44,3.611,3.162,104.78,Discharging,17314.49,42.45,48.36,38.96,29.47,3.44,1.63,3.434,1017015,185,33.3,2.16,0.0,178.5,51.7,-0.1,Chennai,13.0827,80.2707,6,83,102.3
2024-01-18T12:00:00,JLR-EV-1002,I-PACE,40,3.623,3.87,3.242,1.08,Idle,40748.25,25.33,32.27,18.09,21.93,3.31,1.522,2.484,1197205,505,0.0,0.0,0.0,0.0,0.0,0.0,Bangalore,12.9716,77.5946,920,83,92.9
2024-01-18T18:00:00,JLR-EV-1002,I-PACE,4,3.444,3.816,3.066,78.71,Discharging,4769.66,26.57,30.24,22.36,22.63,3.018,1.543,3.683,1304830,53,89.0,1.63,0.0,65.7,45.0,-1.3,Mumbai,19.076,72.8777,14,80,100.3
2024-01-19T00:00:00,JLR-EV-1002,I-PACE,27,3.441,3.782,3.151,31.44,Discharging,47167.45,23.56,30.71,17.33,23.68,2.914,1.442,3.083,1050622,469,74.3,0.65,0.0,118.4,81.1,-0.2,Pune,18.5204,73.8567,560,73,93.1
2024-01-19T06:00:00,JLR-EV-1002,I-PACE,42,3.47,3.723,3.197,101.47,Discharging,44793.54,36.99,40.72,33.63,26.56,3.404,1.114,2.285,1508180,634,59.9,2.11,0.0,102.4,13.7,-0.3,Mumbai,19.076,72.8777,14,65,100.2
2024-01-19T12:00:00,JLR-EV-1002,I-PACE,40,3.682,3.793,3.42,44.82,Discharging,43216.4,29.52,33.96,27.12,21.07,3.26,1.087,3.078,1598408,495,67.1,0.99,0.0,99.0,64.6,-2.4,Bangalore,12.9716,77.5946,920,83,92.7
2024-01-19T18:00:00,JLR-EV-1002,I-PACE,16,3.639,3.961,3.533,-53.67,Charging,29516.08,24.25,30.69,17.97,20.19,3.043,1.099,3.4,1428359,316,0.0,0.0,1.17,0.0,0.0,0.0,Delhi,28.6139,77.209,216,59,99.3
2024-01-20T00:00:00,JLR-EV-1002,I-PACE,10,3.666,3.892,3.331,45.68,Discharging,10656.54,27.15,37.35,20.85,22.24,3.033,1.258,3.838,1035365,135,40.5,1.0,0.0,26.0,12.0,2.5,Bangalore,12.9716,77.5946,920,85,91.2
2024-01-20T06:00:00,JLR-EV-1002,I-PACE,23,3.742,3.972,3.511,46.55,Discharging,32479.67,33.27,38.7,30.34,29.67,3.195,1.016,2.626,1091523,382,60.3,1.05,0.0,163.7,111.8,0.9,Chennai,13.0827,80.2707,6,73,101.4
2024-01-20T12:00:00,JLR-EV-1002,I-PACE,28,3.726,4.033,3.441,97.25,Discharging,32581.55,37.32,50.44,29.34,27.33,3.329,1.168,3.395,1252199,406,59.0,2.17,0.0,68.9,37.8,-0.2,Chennai,13.0827,80.2707,6,79,102.2
2024-01-20T18:00:00,JLR-EV-1002,I-PACE,24,3.48,3.633,3.187,72.18,Discharging,31232.62,35.18,41.14,29.66,27.11,3.15,1.369,2.982,1003985,357,79.2,1.51,0.0,166.6,1.3,2.0,Mumbai,19.076,72.8777,14,79,101.7
2024-01-21T00:00:00,JLR-EV-1002,I-PACE,37,3.717,3.849,3.428,97.23,Discharging,45036.61,35.11,41.02,29.85,25.87,3.286,1.321,3.027,1149508,473,86.4,2.17,0.0,18.5,66.9,-1.6,Delhi,28.6139,77.209,216,56,99.3
2024-01-21T06:00:00,JLR-EV-1002,I-PACE,29,3.634,3.748,3.494,0.12,Idle,34984.96,20.23,29.9,15.03,20.81,3.287,1.521,3.842,1146580,466,0.0,0.0,0.0,0.0,0.0,0.0,Pune,18.5204,73.8567,560,66,93.1
2024-01-21T12:00:00,JLR-EV-1002,I-PACE,53,3.46,3.607,3.349,25.83,Discharging,56088.39,34.07,46.59,28.67,27.51,3.736,1.654,2.773,1670800,761,77.2,0.54,0.0,110.3,0.9,0.5,Pune,18.5204,73.8567,560,77,94.3
2024-01-21T18:00:00,JLR-EV-1002,I-PACE,50,3.694,3.894,3.447,60.91,Discharging,65757.36,24.49,28.43,19.22,21.2,3.392,1.365,3.181,1298657,672,29.4,1.35,0.0,199.8,6.3,-0.0,Delhi,28.6139,77.209,216,62,100.5
2024-01-22T00:00:00,JLR-EV-1002,I-PACE,5,3.792,3.995,3.437,41.88,Discharging,17164.33,30.35,35.1,22.89,22.33,2.961,1.595,2.508,1295728,188,53.4,0.95,0.0,51.8,75.6,2.2,Chennai,13.0827,80.2707,6,82,101.2
2024-01-22T06:00:00,JLR-EV-1002,I-PACE,57,3.673,3.906,3.443,-25.55,Charging,67558.92,32.89,44.24,30.64,30.11,3.515,1.435,3.699,1119671,754,0.0,0.0,0.56,0.0,0.0,0.0,Chennai,13.0827,80.2707,6,71,101.9
2024-01-22T12:00:00,JLR-EV-1002,I-PACE,59,3.43,3.589,3.325,40.19,Discharging,53939.12,23.19,37.89,17.3,20.6,3.297,1.759,2.325,1054197,741,51.1,0.83,0.0,12.0,111.3,-1.2,Bangalore,12.9716,77.5946,920,75,92.7
2024-01-22T18:00:00,JLR-EV-1002,I-PACE,25,3.734,3.961,3.521,1.24,Idle,30291.43,30.52,40.57,25.61,28.93,2.936,1.082,3.147,1325773,340,0.0,0.0,0.0,0.0,0.0,0.0,Bangalore,12.9716,77.5946,920,75,92.9
2024-01-23T00:00:00,JLR-EV-1002,I-PACE,56,3.732,4.0,3.591,58.39,Discharging,52953.57,29.57,42.04,24.87,21.4,3.369,1.687,3.661,1673289,767,24.1,1.31,0.0,15.0,93.7,-0.1,Delhi,28.6139,77.209,216,69,98.9
2024-01-23T06:00:00,JLR-EV-1002,I-PACE,24,3.556,3.701,3.17,-65.76,Charging,20760.84,33.64,43.72,29.09,28.69,3.375,1.034,3.886,1637855,300,0.0,0.0,1.4,0.0,0.0,0.0,Pune,18.5204,73.8567,560,72,93.4
2024-01-23T12:00:00,JLR-EV-1002,I-PACE,34,3.706,3.813,3.322,38.22,Discharging,41350.65,30.26,41.12,26.08,27.58,3.272,1.475,2.344,1120946,452,53.4,0.85,0.0,44.1,83.6,1.2,Pune,18.5204,73.8567,560,64,94.3
2024-01-23T18:00:00,JLR-EV-1002,I-PACE,50,3.71,4.109,3.337,1.45,Idle,53042.84,26.98,37.48,19.7,26.07,3.514,1.779,3.038,1486963,649,0.0,0.0,0.0,0.0,0.0,0.0,Pune,18.5204,73.8567,560,67,94.0
2024-01-24T00:00:00,JLR-EV-1002,I-PACE,51,3.357,3.568,3.195,56.99,Discharging,63162.56,28.77,31.87,25.48,26.93,3.271,1.132,2.611,1796479,684,52.0,1.15,0.0,135.4,5.2,-0.5,Delhi,28.6139,77.209,216,71,100.3
2024-01-24T06:00:00,JLR-EV-1002,I-PACE,7,3.782,4.054,3.659,79.17,Discharging,7657.82,32.91,37.11,30.09,25.51,2.788,1.369,3.852,1194011,97,24.2,1.8,0.0,54.7,82.8,1.1,Delhi,28.6139,77.209,216,67,100.1
2024-01-24T12:00:00,JLR-EV-1002,I-PACE,18,3.478,3.848,3.152,30.24,Discharging,23099.28,32.35,43.77,29.44,26.11,3.073,1.402,2.829,1081634,274,25.3,0.63,0.0,23.8,39.1,-0.8,Pune,18.5204,73.8567,560,73,94.1
2024-01-24T18:00:00,JLR-EV-1002,I-PACE,44,3.384,3.502,3.23,20.36,Discharging,53635.61,33.45,45.62,26.65,30.13,3.494,1.415,3.341,1135155,544,87.9,0.41,0.0,194.0,117.7,-2.4,Chennai,13.0827,80.2707,6,88,101.5
2024-01-25T00:00:00,JLR-EV-1002,I-PACE,35,3.571,3.937,3.175,68.68,Discharging,38149.79,32.67,44.23,30.31,23.53,3.38,1.508,3.961,1398520,428,35.6,1.47,0.0,48.8,92.4,-1.9,Mumbai,19.076,72.8777,14,81,101.3
